Product Id,Product type,Product Name,Cost,Sale Price,Transaction Id,Due Date,Product Quantity,Bid from,Bfrom,Bid to,BTo,City
16,Electronics,Air Blower,350,600,1003,2015-02-01,2,3,Deccan Mechanical,8,Altran India,Pune
29,Mechanical,Aluminum Ladder,110,180,1005,2015-02-01,2,7,CADEM Engineering,8,Altran India,Pune
2,Electronics,Drilling machine,550,800,1009,2015-02-01,2,6,Technomech,8,Altran India,Pune
18,Mechanical,Crimping,110,180,1009,2015-02-01,3,6,Technomech,8,Altran India,Pune
32,Mechanical,Iron Vice,110,180,1011,2015-02-01,3,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
33,Mechanical,Pliers,110,180,1011,2015-02-01,3,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
24,Mechanical,metal plates,110,180,1011,2015-02-01,2,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
20,Mechanical,Drilling bits,110,180,1011,2015-02-01,1,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
3,Electronics,Electric Soldering ,90,170,1011,2015-02-01,2,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
7,Electronics,Cutter,880,1470,1011,2015-02-01,1,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
23,Mechanical,roads,110,180,1011,2015-02-01,1,3,Deccan Mechanical,1,Jvc Engineering Company,Pune
9,Electronics,Adapter,70,125,1012,2015-02-01,3,10,VCC Engineering Company,1,Jvc Engineering Company,Pune
3,Electronics,Electric Soldering ,90,170,1012,2015-02-01,1,10,VCC Engineering Company,1,Jvc Engineering Company,Pune
24,Mechanical,metal plates,110,180,1012,2015-02-01,2,10,VCC Engineering Company,1,Jvc Engineering Company,Pune
5,Electronics,Jigsaw,850,1200,1012,2015-02-01,3,10,VCC Engineering Company,1,Jvc Engineering Company,Pune
28,Mechanical,Circular Saw Blades,110,180,1012,2015-02-01,3,10,VCC Engineering Company,1,Jvc Engineering Company,Pune
